burned;dim;empty;finalTime;forest;simulations
41;20;0.46;100;174;"2_execution_dim_20_empty_0.46_"
4;20;0.46;100;209;"3_execution_dim_20_empty_0.46_"
1;20;0.47;100;199;"1_execution_dim_20_empty_0.47_"
97;20;0.47;100;111;"2_execution_dim_20_empty_0.47_"
5;20;0.47;100;203;"3_execution_dim_20_empty_0.47_"
17;20;0.48;100;187;"1_execution_dim_20_empty_0.48_"
32;20;0.48;100;180;"2_execution_dim_20_empty_0.48_"
4;20;0.48;100;190;"3_execution_dim_20_empty_0.48_"
100;20;0.49;100;117;"1_execution_dim_20_empty_0.49_"
44;20;0.49;100;174;"2_execution_dim_20_empty_0.49_"
8;20;0.49;100;175;"3_execution_dim_20_empty_0.49_"
138;20;0.5;100;77;"1_execution_dim_20_empty_0.5_"
94;20;0.5;100;106;"2_execution_dim_20_empty_0.5_"
21;20;0.5;100;179;"3_execution_dim_20_empty_0.5_"
125;20;0.51;100;83;"1_execution_dim_20_empty_0.51_"
73;20;0.51;100;136;"2_execution_dim_20_empty_0.51_"
62;20;0.51;100;142;"3_execution_dim_20_empty_0.51_"
1;20;0.52;100;190;"1_execution_dim_20_empty_0.52_"
28;20;0.52;100;166;"2_execution_dim_20_empty_0.52_"
25;20;0.52;100;173;"3_execution_dim_20_empty_0.52_"
24;20;0.53;100;153;"1_execution_dim_20_empty_0.53_"
88;20;0.53;100;118;"2_execution_dim_20_empty_0.53_"
60;20;0.53;100;138;"3_execution_dim_20_empty_0.53_"
16;20;0.54;100;165;"1_execution_dim_20_empty_0.54_"
33;20;0.54;100;140;"2_execution_dim_20_empty_0.54_"
8;20;0.54;100;171;"3_execution_dim_20_empty_0.54_"
27;20;0.55;100;159;"1_execution_dim_20_empty_0.55_"
1;20;0.55;100;168;"2_execution_dim_20_empty_0.55_"
8;20;0.55;100;170;"3_execution_dim_20_empty_0.55_"
16;20;0.56;100;150;"1_execution_dim_20_empty_0.56_"
4;20;0.56;100;164;"2_execution_dim_20_empty_0.56_"
13;20;0.56;100;164;"3_execution_dim_20_empty_0.56_"
2;20;0.57;100;170;"1_execution_dim_20_empty_0.57_"
10;20;0.57;100;176;"2_execution_dim_20_empty_0.57_"
8;20;0.57;100;154;"3_execution_dim_20_empty_0.57_"
3;20;0.58;100;170;"1_execution_dim_20_empty_0.58_"
1;20;0.58;100;160;"2_execution_dim_20_empty_0.58_"
5;20;0.58;100;159;"3_execution_dim_20_empty_0.58_"
26;20;0.59;100;129;"1_execution_dim_20_empty_0.59_"
1;20;0.59;100;158;"2_execution_dim_20_empty_0.59_"
16;20;0.59;100;143;"3_execution_dim_20_empty_0.59_"
14;20;0.6;100;138;"1_execution_dim_20_empty_0.6_"
